0,0,0,0,0,0,424227,423999,424528,423898,424116,424663,141,93,114,117,120,114,0.010055,0.02011
0,0,0,0,0,0,424888,424824,425095,424392,425324,425160,139,148,146,99,146,92,0.00296,0.00592
0,0,0,0,0,0,425030,425297,425272,425026,425136,425043,138,129,91,98,144,123,0.0033,0.0066
0,0,0,0,0,0,425451,425429,424970,425030,425313,425438,112,124,121,107,107,97,0.00215,0.0043
0,0,0,0,0,0,424879,424617,425265,424542,424919,425029,90,98,112,149,128,125,0.00937,0.01874
0,0,0,0,0,0,424177,423952,424202,424581,424132,424374,119,97,142,126,149,149,0.001305,0.00261
7604.67,11407,9505.84,15209.3,3802.34,5703.5,422994,422853,422957,423277,422896,422901,128,140,138,141,123,131,0.00119,0.00238
273922,410884,342403,547845,136961,205442,421049,420715,420614,421296,420789,421036,129,120,127,93,140,102,0.00116,0.00232
1033030,1549540,1291290,2066060,516514,774771,422829,422816,423043,422765,422412,422809,129,130,110,146,93,124,0.001055,0.00211
1475060,2212580,1843820,2950110,737528,1106290,423400,423798,423389,422906,423322,423611,138,120,128,147,101,140,0.00302,0.00604
1970420,2955640,2463030,3940840,985212,1477820,423703,424113,423871,423788,423675,423737,113,122,129,118,149,107,0.00912,0.01824
2315570,3473350,2894460,4631140,1157780,1736680,423697,423257,423879,423715,423487,423473,111,97,129,107,136,108,0.002905,0.00581
2289830,3434750,2862290,4579660,1144920,1717370,423652,424057,423351,423218,423257,423758,113,145,105,118,143,149,0.003805,0.00761
1946770,2920150,2433460,3893540,973384,1460080,424183,424188,424600,424227,423899,423963,110,130,91,116,91,150,0.00924,0.01848
1127300,1690940,1409120,2254590,563648,845472,423689,423705,424055,423579,423991,423893,132,106,150,142,121,125,0.00868,0.01736
284925,427387,356156,569850,142462,213694,422894,422713,423284,422610,422921,422925,98,113,102,102,112,110,0.00486,0.00972
64464.9,96697.3,80581.1,128930,32232.4,48348.7,420479,420966,420523,420365,420648,420918,107,113,129,113,149,121,0.012195,0.02439
0,0,0,0,0,0,417882,417876,417521,418009,418246,417617,130,140,124,136,101,95,0.01332,0.02664
0,0,0,0,0,0,417481,417247,417431,417640,417224,417394,142,104,112,139,103,139,0.0113,0.0226
0,0,0,0,0,0,417268,416858,417758,417478,417480,417366,109,97,97,131,126,131,0.00828,0.01656
0,0,0,0,0,0,419302,419750,419017,419341,419065,419585,98,134,117,134,144,126,0.014425,0.02885
0,0,0,0,0,0,419899,419472,419845,419679,419782,420320,126,129,98,131,123,102,0.023615,0.04723
0,0,0,0,0,0,421775,421776,421591,422091,421356,421957,90,102,125,109,95,102,0.003675,0.00735
0,0,0,0,0,0,423679,423563,423694,423551,423639,424000,146,141,123,100,137,100,0.004225,0.00845
